"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7656","test_32_number_of_products_in_favorites[chromium]","tests","Wed Jul 30 22:57:44 GMT 2025","passed","Wed Jul 30 22:57:52 GMT 2025","TestFavourites","test_favourites","",""
"","1715","test_06_enter_invalid_characters[chromium]","tests","Wed Jul 30 23:04:33 GMT 2025","failed","Wed Jul 30 23:04:34 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","609","test_07_hover_on_toolbar[chromium]","tests","Wed Jul 30 23:04:38 GMT 2025","passed","Wed Jul 30 23:04:39 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","30507","test_15_login_to_user[chromium]","tests","Wed Jul 30 22:59:17 GMT 2025","broken","Wed Jul 30 22:59:48 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","1700","test_08_enter_connected_characters[chromium]","tests","Wed Jul 30 23:04:43 GMT 2025","passed","Wed Jul 30 23:04:44 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","6032","test_24_purchase_purchase_an_item_cart[chromium]","tests","Wed Jul 30 22:56:18 GMT 2025","passed","Wed Jul 30 22:56:24 GMT 2025","TestCart","test_cart","",""
"","30504","test_16_error_alert_incorrect_password[chromium]","tests","Wed Jul 30 22:59:52 GMT 2025","broken","Wed Jul 30 23:00:22 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","5193","test_25_amount_of_items_cart_visibility[chromium]","tests","Wed Jul 30 22:56:28 GMT 2025","passed","Wed Jul 30 22:56:33 GMT 2025","TestCart","test_cart","",""
"","30507","test_02_change_language_button_in_home_page[chromium]","tests","Wed Jul 30 22:58:01 GMT 2025","broken","Wed Jul 30 22:58:31 GMT 2025","TestHomePage","test_homepage","",""
"","1694","test_05_search_item_in_toolbar[chromium]","tests","Wed Jul 30 23:04:27 GMT 2025","passed","Wed Jul 30 23:04:29 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","30504","test_20_show_button[chromium]","tests","Wed Jul 30 23:02:10 GMT 2025","broken","Wed Jul 30 23:02:40 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30505","test_14_change_language_button_in_registration[chromium]","tests","Wed Jul 30 22:55:44 GMT 2025","broken","Wed Jul 30 22:56:14 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","6747","test_31_moving_a_product_from_favorites_to_cart[chromium]","tests","Wed Jul 30 22:57:34 GMT 2025","passed","Wed Jul 30 22:57:41 GMT 2025","TestFavourites","test_favourites","",""
"","30502","test_17_error_alert_incorrect_email[chromium]","tests","Wed Jul 30 23:00:26 GMT 2025","broken","Wed Jul 30 23:00:57 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","603","test_09_search_without_entering_text[chromium]","tests","Wed Jul 30 23:04:49 GMT 2025","passed","Wed Jul 30 23:04:50 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","30506","test_12_registration_with_2_character_password[chromium]","tests","Wed Jul 30 22:54:34 GMT 2025","broken","Wed Jul 30 22:55:04 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30505","test_22_reset_password_options[chromium]","tests","Wed Jul 30 23:03:18 GMT 2025","broken","Wed Jul 30 23:03:49 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","4548","test_01_open_home_page[chromium]","tests","Wed Jul 30 22:57:52 GMT 2025","passed","Wed Jul 30 22:57:57 GMT 2025","TestHomePage","test_homepage","",""
"","30507","test_11_registration_with_invalid_email[chromium]","tests","Wed Jul 30 22:53:59 GMT 2025","broken","Wed Jul 30 22:54:30 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30505","test_19_change_language_button_in_login[chromium]","tests","Wed Jul 30 23:01:36 GMT 2025","broken","Wed Jul 30 23:02:06 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","4396","test_29_add_favorite_items[chromium]","tests","Wed Jul 30 22:57:15 GMT 2025","passed","Wed Jul 30 22:57:20 GMT 2025","TestFavourites","test_favourites","",""
"","10415","test_27_saved_items_after_exit[chromium]","tests","Wed Jul 30 22:56:50 GMT 2025","passed","Wed Jul 30 22:57:00 GMT 2025","TestCart","test_cart","",""
"","30505","test_18_error_alert_incorrect_email_and_password[chromium]","tests","Wed Jul 30 23:01:01 GMT 2025","broken","Wed Jul 30 23:01:32 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30504","test_13_registration_numbers_in_name[chromium]","tests","Wed Jul 30 22:55:09 GMT 2025","broken","Wed Jul 30 22:55:39 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","7817","test_28_adding_a_product_to_the_shopping_cart[chromium]","tests","Wed Jul 30 22:57:04 GMT 2025","passed","Wed Jul 30 22:57:12 GMT 2025","TestCart","test_cart","",""
"","30506","test_10_registration_new_user[chromium]","tests","Wed Jul 30 22:53:25 GMT 2025","broken","Wed Jul 30 22:53:56 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30504","test_23_remember_email[chromium]","tests","Wed Jul 30 23:03:53 GMT 2025","broken","Wed Jul 30 23:04:23 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30506","test_21_forget_Your_Password_button[chromium]","tests","Wed Jul 30 23:02:44 GMT 2025","broken","Wed Jul 30 23:03:14 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","2072","test_04_clicking_on_the_main_logo_to_connect_the_home_page[chromium]","tests","Wed Jul 30 22:59:12 GMT 2025","passed","Wed Jul 30 22:59:14 GMT 2025","TestHomePage","test_homepage","",""
"","8392","test_26_remove_items_in_cart[chromium]","tests","Wed Jul 30 22:56:37 GMT 2025","passed","Wed Jul 30 22:56:46 GMT 2025","TestCart","test_cart","",""
"","6892","test_30_remove_favorite_items[chromium]","tests","Wed Jul 30 22:57:23 GMT 2025","passed","Wed Jul 30 22:57:30 GMT 2025","TestFavourites","test_favourites","",""
"","30505","test_03_saving_data_after_exit[chromium]","tests","Wed Jul 30 22:58:37 GMT 2025","broken","Wed Jul 30 22:59:07 GMT 2025","TestHomePage","test_homepage","",""
